Program,Network,Rank,Rating,Year,Type,Spinoff
Dharma & Greg,ABC,17,10.5,1999,Sitcom,No
Roseanne,ABC,3,18.1,1990,Sitcom,No
America's Funniest Home Videos,ABC,8,16.7,1990,Reality,No
Monday Night Football,ABC,9,16.6,1990,Sports,No
America's Funniest People,ABC,13,16.3,1990,Reality,Yes
Full House,ABC,14,15.9,1990,Sitcom,No
Family Matters,ABC,15,15.8,1990,Sitcom,Yes
Coach,ABC,18,15.3,1990,Sitcom,No
Who's the Boss?,ABC,19,15,1990,Sitcom,No
"Doogie Howser, M.D.",ABC,24,14.7,1990,Sitcom,No
Head of the Class,ABC,26,14.5,1990,Sitcom,No
Growing Pains,ABC,27,14.3,1990,Sitcom,No
Baby Talk,ABC,27,14.3,1990,Sitcom,No
Davis Rules,ABC,27,14.3,1990,Sitcom,No
The Wonder Years,ABC,30,14.2,1990,Sitcom,No
Roseanne,ABC,2,19.9,1991,Sitcom,No
Home Improvement,ABC,4,17.5,1991,Sitcom,No
Full House,ABC,7,17,1991,Sitcom,No
Coach,ABC,10,16.7,1991,Sitcom,No
Room for Two,ABC,10,16.7,1991,Sitcom,No
Monday Night Football,ABC,12,16.6,1991,Sports,No
America's Funniest Home Videos,ABC,20,14.5,1991,Reality,No
20/20,ABC,21,14.4,1991,News,No
America's Funniest People,ABC,25,13.8,1991,Reality,Yes
Roseanne,ABC,2,20.7,1992,Sitcom,No
Home Improvement,ABC,3,19.4,1992,Sitcom,No
Coach,ABC,6,17.5,1992,Sitcom,No
Monday Night Football,ABC,7,16.7,1992,Sports,No
Full House,ABC,10,15.8,1992,Sitcom,No
20/20,ABC,12,15.1,1992,News,No
Hanging' with Mr. Cooper,ABC,16,14.6,1992,Sitcom,No
Primetime Live,ABC,22,14.1,1992,News,No
ABC Sunday Night Movie,ABC,28,13.3,1992,Special,No
Matlock,ABC,28,13.3,1992,Drama,No
Home Improvement,ABC,2,20.4,1993,Sitcom,No
Roseanne,ABC,4,19.1,1993,Sitcom,No
Grace Under Fire,ABC,5,17.7,1993,Sitcom,No
Coach,ABC,6,17.4,1993,Sitcom,No
Monday Night Football,ABC,8,16.5,1993,Sports,No
Thunder Alley,ABC,12,15.9,1993,Sitcom,No
20/20,ABC,15,14.3,1993,News,No
Full House,ABC,16,14.2,1993,Sitcom,No
Primetime Live,ABC,17,14,1993,News,No
NYPD Blue,ABC,18,13.9,1993,Drama,No
Turning Point,ABC,20,13.8,1993,News,No
Phenom,ABC,27,13.2,1993,Drama,No
ABC Sunday Night Movie,ABC,30,12.6,1993,Special,No
Family Matters,ABC,30,12.6,1993,Sitcom,Yes
Home Improvement,ABC,3,19.5,1994,Sitcom,No
Grace Under Fire,ABC,4,18.6,1994,Sitcom,No
Monday Night Football,ABC,5,17.7,1994,Sports,No
NYPD Blue,ABC,7,16.5,1994,Drama,No
Roseanne,ABC,10,15.5,1994,Sitcom,No
Ellen,ABC,13,14.8,1994,Sitcom,No
20/20,ABC,17,14,1994,News,No
Me and the Boys,ABC,20,13.1,1994,Sitcom,No
ABC Sunday Movie,ABC,23,12.7,1994,Special,No
Full House,ABC,25,12.4,1994,Sitcom,No
ABC Monday Night Movie,ABC,29,11.7,1994,Special,No
Primetime Live,ABC,29,11.7,1994,News,No
Monday Night Football,ABC,5,17.1,1995,Sports,No
Home Improvement,ABC,7,16.1,1995,Sitcom,No
NYPD Blue,ABC,10,14.1,1995,Drama,No
20/20,ABC,11,13.6,1995,News,No
Grace Under Fire,ABC,13,13.2,1995,Sitcom,No
Coach,ABC,14,12.9,1995,Sitcom,No
Roseanne,ABC,16,12.5,1995,Sitcom,No
Primetime Live,ABC,18,12.3,1995,News,No
The Naked Truth,ABC,24,11.4,1995,Sitcom,No
The Dana Carvey Show,ABC,30,11.2,1995,Sitcom,No
Monday Night Football,ABC,7,16,1996,Sports,No
Home Improvement,ABC,9,14,1996,Sitcom,No
20/20,ABC,12,12.8,1996,News,No
NYPD Blue,ABC,13,12.5,1996,Drama,No
Primetime Live,ABC,15,11.9,1996,News,No
Spin City,ABC,17,11.7,1996,Sitcom,No
The Drew Carey Show,ABC,18,11.5,1996,Sitcom,No
Ellen,ABC,29,10.6,1996,Sitcom,No
Monday Night Football,ABC,5,15,1997,Sports,No
Home Improvement,ABC,10,12,1997,Sitcom,No
The Drew Carey Show,ABC,15,11.1,1997,Sitcom,No
20/20 - Friday,ABC,16,10.9,1997,News,No
NYPD Blue,ABC,17,10.8,1997,Drama,No
Primetime Live,ABC,17,10.8,1997,News,No
20/20 - Monday,ABC,21,10,1997,News,Rename
Dharma & Greg,ABC,25,9.5,1997,Sitcom,No
Hiller and Diller,ABC,28,9.3,1997,Sitcom,No
Monday Night Football,ABC,4,14.9,1998,Sports,No
Home Improvement,ABC,10,11,1998,Sitcom,No
NYPD Blue,ABC,12,10.5,1998,Drama,No
The Drew Carey Show,ABC,14,9.9,1998,Sitcom,No
20/20 - Wednesday,ABC,16,9.8,1998,News,Rename
Dharma & Greg,ABC,24,9.3,1998,Sitcom,No
Spin City,ABC,25,9.2,1998,Sitcom,No
Who Wants to Be a Millionaire - Tuesday,ABC,1,18.6,1999,Game,No
Who Wants to Be a Millionaire - Thursday,ABC,2,17.5,1999,Game,No
Who Wants to Be a Millionaire - Sunday,ABC,3,17.1,1999,Game,No
Monday Night Football,ABC,7,13.5,1999,Sports,No
The Practice,ABC,9,11.8,1999,Drama,No
NYPD Blue,ABC,15,10.7,1999,Drama,No
The Drew Carey Show,ABC,21,9.5,1999,Sitcom,No
ABC Monday Movie,ABC,24,9.1,1999,Special,No
Who Wants to Be a Millionaire - Wednesday,ABC,3,13.7,2000,Game,Yes
Who Wants to Be a Millionaire - Tuesday,ABC,4,13,2000,Game,No
Monday Night Football,ABC,5,12.6,2000,Sports,No
Who Wants to Be a Millionaire - Sunday,ABC,8,12.4,2000,Game,No
The Practice,ABC,10,11.7,2000,Drama,No
Who Wants to Be a Millionaire - Thursday,ABC,11,11.6,2000,Game,No
Who Wants to Be a Millionaire - Friday,ABC,19,10.5,2000,Game,Yes
NYPD Blue,ABC,22,9.7,2000,Drama,No
Monday Night Football,ABC,7,11.5,2001,Sports,No
The Practice,ABC,23,8.3,2001,Drama,No
NYPD Blue,ABC,23,8.3,2001,Drama,No
Monday Night Football,ABC,10,11.4,2002,Sports,No
The Bachelor/The Bachelorette,ABC,16,9.9,2002,Reality,No
NYPD Blue,ABC,29,7.8,2002,Drama,No
Monday Night Football,ABC,9,11.2,2003,Sports,No
The Bachelor/The Bachelorette,ABC,21,8.3,2003,Reality,No
Desperate Housewives,ABC,4,14.5,2004,Drama,No
Grey's Anatomy,ABC,8,11.6,2004,Drama,No
Monday Night Football,ABC,10,10.8,2004,Sports,No
Lost,ABC,13,9.8,2004,Drama,No
Extreme Makeover: Home Edition,ABC,18,9.1,2004,Reality,Yes
Boston Legal,ABC,24,8.1,2004,Drama,Yes
Desperate Housewives,ABC,4,13.8,2005,Drama,No
Grey's Anatomy,ABC,5,12.5,2005,Drama,No
Dancing with the Stars,ABC,7,12,2005,Reality,No
Monday Night Football,ABC,9,10.6,2005,Sports,No
Dancing with the Stars - Results,ABC,15,9.6,2005,Reality,No
Lost,ABC,18,9.2,2005,Drama,No
Extreme Makeover: Home Edition,ABC,23,8.6,2005,Reality,Yes
Commander in Chief,ABC,24,8.4,2005,Drama,No
Grey's Anatomy,ABC,7,12.1,2006,Drama,No
Desperate Housewives,ABC,9,10.8,2006,Drama,No
Lost,ABC,22,8.3,2006,Drama,No
Extreme Makeover: Home Edition,ABC,26,7.7,2006,Reality,Yes
Ugly Betty,ABC,27,7.4,2006,Drama,No
ER,ABC,27,7.4,2006,Drama,No
24,ABC,27,7.4,2006,Drama,No
Brothers & Sisters,ABC,30,7.3,2006,Drama,No
Desperate Housewives,ABC,6,11.6,2007,Drama,No
Grey's Anatomy,ABC,9,10.4,2007,Drama,No
Samantha Who?,ABC,19,8,2007,Sitcom,No
Lost,ABC,20,7.9,2007,Drama,No
Extreme Makeover: Home Edition,ABC,21,7.8,2007,Reality,Yes
Brothers & Sisters,ABC,22,7.6,2007,Drama,No
CSI: NY,ABC,22,7.6,2007,Drama,Yes
Heroes,ABC,22,7.6,2007,Drama,No
Private Practice,ABC,26,7.3,2007,Drama,Yes
Desperate Housewives,ABC,9,9.9,2008,Drama,No
Grey's Anatomy,ABC,10,9.6,2008,Drama,No
The Bachelor,ABC,20,7.5,2008,Reality,No
Brothers & Sisters,ABC,23,7.2,2008,Drama,No
Castle,ABC,25,6.9,2008,Drama,No
Lost,ABC,29,6.6,2008,Drama,No
Dancing with the Stars,ABC,3,12.6,2009,Reality,No
Dancing with the Stars - Results,ABC,7,9.9,2009,Reality,No
Grey's Anatomy,ABC,11,9,2009,Drama,No
Desperate Housewives,ABC,13,8.8,2009,Drama,No
The Bachelor,ABC,21,7.8,2009,Reality,No
Brothers & Sisters,ABC,23,7,2009,Drama,No
Castle,ABC,24,6.9,2009,Drama,No
Lost,ABC,24,6.9,2009,Drama,No
Private Practice,ABC,29,6.3,2009,Drama,Yes
Dancing with the Stars,ABC,2,13.8,2010,Reality,No
Dancing with the Stars - Results,ABC,5,11.8,2010,Reality,No
Body of Proof,ABC,9,9,2010,Drama,No
Desperate Housewives,ABC,17,7.5,2010,Drama,No
Grey's Anatomy,ABC,17,7.5,2010,Drama,No
Castle,ABC,22,7.3,2010,Drama,No
Modern Family,ABC,25,7.1,2010,Sitcom,No
The Bachelor,ABC,27,7,2010,Reality,No
Dancing with the Stars,ABC,3,12,2011,Reality,No
Dancing with the Stars - Results,ABC,6,10.6,2011,Reality,No
Modern Family,ABC,15,8.1,2011,Sitcom,No
Castle,ABC,16,8,2011,Drama,No
Grey's Anatomy,ABC,21,7.6,2011,Drama,No
Desperate Housewives,ABC,28,7,2011,Drama,No
Once Upon a Time,ABC,28,7,2011,Drama,No
Dancing with the Stars,ABC,6,9.9,2012,Reality,No
Dancing with the Stars - Results,ABC,7,9.2,2012,Reality,No
Castle,ABC,15,8.1,2012,Drama,No
Grey's Anatomy,ABC,18,7.7,2012,Drama,No
Modern Family,ABC,18,7.7,2012,Sitcom,No
Body of Proof,ABC,23,7.3,2012,Drama,No
Dancing with the Stars,ABC,5,10,2013,Reality,No
Grey's Anatomy,ABC,11,8.5,2013,Drama,No
Castle,ABC,12,8.3,2013,Drama,No
Scandal,ABC,13,8.2,2013,Drama,No
Resurrection,ABC,15,8.1,2013,Drama,No
Modern Family,ABC,18,7.6,2013,Sitcom,No
Dancing with the Stars,ABC,5,10,2015,Reality,No
Grey's Anatomy,ABC,11,8.5,2015,Drama,No
Castle,ABC,12,8.3,2015,Drama,No
Scandal,ABC,13,8.2,2015,Drama,No
Resurrection,ABC,15,8.1,2015,Drama,No
Modern Family,ABC,18,7.6,2015,Sitcom,No
Roseanne,ABC,4,10.2,2017,Sitcom,No
The Good Doctor,ABC,7,9.3,2017,Drama,No
Grey's Anatomy,ABC,12,7.1,2017,Drama,No
Dancing with the Stars,ABC,15,6.9,2017,Reality,No
Dancing with the Stars: Athletes,ABC,25,6,2017,Reality,Yes
American Idol - Monday,ABC,30,5.6,2017,Variety,No
The Good Doctor,ABC,9,7.4,2018,Drama,No
Grey's Anatomy,ABC,20,6.5,2018,Drama,No
The Conners,ABC,27,5.8,2018,Sitcom,Yes
Dancing with the Stars,ABC,29,5.5,2018,Reality,No
Dancing with the Stars,ABC,7,9.7,2014,Reality,No
Scandal,ABC,8,9,2014,Drama,No
Grey's Anatomy,ABC,17,7.8,2014,Drama,No
How to Get Away with Murder,ABC,20,7.7,2014,Drama,No
Modern Family,ABC,23,7.5,2014,Sitcom,No
Castle,ABC,28,7.2,2014,Drama,No
S.W.A.T.,ABC,16,22.6,1974,Drama,No
The Rookies,ABC,18,22,1974,Drama,No
The Streets of San Francisco,ABC,22,21.3,1974,Drama,No
"Rich Man, Poor Man",ABC,2,28,1975,Special,No
Laverne & Shirley,ABC,3,27.5,1975,Sitcom,No
The Bionic Woman,ABC,5,24.9,1975,Drama,No
The Six Million Dollar Man,ABC,9,24.3,1975,Drama,No
ABC Monday Night Movie,ABC,10,24.2,1975,Special,No
Happy Days,ABC,11,23.9,1975,Sitcom,No
ABC Sunday Night Movie,ABC,13,23,1975,Special,No
Starsky & Hutch,ABC,16,22.5,1975,Sitcom,No
Good Heavens,ABC,16,22.5,1975,Special,No
"Welcome Back, Kotter",ABC,18,22.1,1975,Sitcom,No
Barretta,ABC,22,21.3,1975,Drama,No
Donny & Marie,ABC,26,20.7,1975,Variety,No
The Streets of San Francisco,ABC,26,20.7,1975,Drama,No
Happy Days,ABC,1,31.5,1976,Sitcom,No
Laverne & Shirley,ABC,2,30.9,1976,Sitcom,No
ABC Monday Night Movie,ABC,3,26,1976,Special,No
Charlie's Angels,ABC,5,25.8,1976,Drama,No
The Six Million Dollar Man,ABC,7,24.2,1976,Drama,No
ABC Sunday Night Movie,ABC,8,23.4,1976,Special,No
Barretta,ABC,8,23.4,1976,Drama,No
Three's Company,ABC,11,23.1,1976,Sitcom,No
"Welcome Back, Kotter",ABC,13,22.7,1976,Sitcom,No
The Bionic Woman,ABC,14,22.4,1976,Drama,No
Barney Miller,ABC,17,22.2,1976,Sitcom,No
"Rich Man, Poor Man Book II",ABC,21,21.6,1976,Special,Yes
Monday Night Football,ABC,22,21.2,1976,Sports,No
Eight Is Enough,ABC,23,21.1,1976,Sitcom,No
What's Happening!!,ABC,25,20.9,1976,Sitcom,No
ABC Friday Night Movie,ABC,28,20.2,1976,Special,No
The Tony Randall Show,ABC,29,20.1,1976,Sitcom,No
Laverne & Shirley,ABC,1,31.6,1977,Sitcom,No
Happy Days,ABC,2,31.4,1977,Sitcom,No
Three's Company,ABC,3,28.3,1977,Sitcom,No
Charlie's Angels,ABC,4,24.4,1977,Drama,No
How the West Was Won,ABC,11,22.5,1977,Drama,No
Eight Is Enough,ABC,12,22.2,1977,Sitcom,No
Soap,ABC,13,22,1977,Sitcom,No
The Love Boat,ABC,14,21.9,1977,Drama,No
Monday Night Football,ABC,16,21.5,1977,Sports,No
Fantasy Island,ABC,17,21.4,1977,Drama,No
Barney Miller,ABC,17,21.4,1977,Sitcom,No
ABC Sunday Night Movie,ABC,20,20.8,1977,Special,No
ABC Monday Night Movie,ABC,24,20.3,1977,Special,No
"Welcome Back, Kotter",ABC,26,19.9,1977,Sitcom,No
Laverne & Shirley,ABC,1,30.5,1978,Sitcom,No
Three's Company,ABC,2,30.3,1978,Sitcom,No
Mork & Mindy,ABC,3,28.6,1978,Sitcom,Yes
Happy Days,ABC,3,28.6,1978,Sitcom,No
Angie,ABC,5,26.7,1978,Sitcom,No
The Ropers,ABC,8,25.2,1978,Sitcom,Yes
Taxi,ABC,9,24.9,1978,Sitcom,No
Eight Is Enough,ABC,11,24.8,1978,Sitcom,No
Charlie's Angels,ABC,12,24.4,1978,Drama,No
ABC Sunday Night Movie,ABC,15,22.6,1978,Special,No
Barney Miller,ABC,15,22.6,1978,Sitcom,No
The Love Boat,ABC,17,22.1,1978,Drama,No
Soap,ABC,19,21.3,1978,Sitcom,No
Fantasy Island,ABC,22,20.8,1978,Drama,No
Vega$,ABC,23,20.6,1978,Drama,No
Monday Night Football,ABC,28,19.8,1978,Sports,No
What's Happening!!,ABC,28,19.8,1978,Sitcom,No
