vertex.names,Nickname,City,State.1.,Enrollment,CurrentConference,FormerConferences,FirstPlayed,JoinedFBS,Level
Air Force,Falcons,Colorado Springs,Colorado,"4,237",Mountain West,WAC,1955,,FBS
Akron,Zips,Akron,Ohio,"19,200",MAC,"OAC, MCC, OVC",1891,1987,FBS
Alabama,Crimson Tide,Tuscaloosa,Alabama,"38,500",SEC,"SIAA, SoCon",1892,,FBS
Appalachian State,Mountaineers,Boone,North Carolina,"19,100",Sun Belt,"NSC, SoCon",1928,2014[n 1],FBS
Arizona,Wildcats,Tucson,Arizona,"45,200",Pac-12,"BIAA, WAC",1899,,FBS
Arizona State,Sun Devils,Tempe,Arizona,"51,800",Pac-12,"BIAA, WAC",1896,,FBS
Arkansas,Razorbacks,Fayetteville,Arkansas,"27,800",SEC,SWC,1894,,FBS
Arkansas State,Red Wolves,Jonesboro,Arkansas,"22,000",Sun Belt,"Arkansas Intercollegiate Conference, Southland, Big West",1911,1992,FBS
Army,Black Knights,West Point,New York,"4,300",Independent,C-USA,1890,,FBS
Auburn,Tigers,Auburn,Alabama,"30,400",SEC,"SIAA, SoCon",1892,,FBS
Ball State,Cardinals,Muncie,Indiana,"22,500",MAC,"IIC, ICC",1924,,FBS
Baylor,Bears,Waco,Texas,"17,200",Big 12,"TIAA, SWC",1899,,FBS
Boise State,Broncos,Boise,Idaho,"25,500",Mountain West,"ICAC, Big Sky, Big West, WAC",1933[n 2],1996,FBS
Boston College,Eagles,Chestnut Hill,Massachusetts,"14,700",ACC,Big East,1893,,FBS
Bowling Green,Falcons,Bowling Green,Ohio,"23,000",MAC,"Northwest Ohio Intercollegiate Athletic Association, OAC",1919,,FBS
Buffalo,Bulls,Buffalo,New York,"31,500",MAC,New York State Conference,1894,1999,FBS
Brigham Young,Cougars,Provo,Utah,"33,600",Independent,"Rocky Mountain, Mountain States, WAC, MW",1922,,FBS
California,Golden Bears,Berkeley,California,"42,500",Pac-12,PCC,1882,,FBS
Central Michigan,Chippewas,Mount Pleasant,Michigan,"21,700",MAC,"MCC, IIAC",1896,,FBS
Charlotte,49ers,Charlotte,North Carolina,"29,700",C-USA,"Sun Belt, C-USA, A-10",2013,2015,FBS
Cincinnati,Bearcats,Cincinnati,Ohio,"46,000",American,"OAC, Buckeye Intercollegiate Athletic Association, MAC, MVC, C-USA, Big East",1885,,FBS
Clemson,Tigers,Clemson,South Carolina,"25,000",ACC,"SIAA, SAIAA, SoCon",1896,,FBS
Coastal Carolina,Chanticleers,Conway,South Carolina,"10,600",Sun Belt,Big South,2003,2017,FBS
Colorado,Buffaloes,Boulder,Colorado,"33,200",Pac-12,"Colorado Football Association, Rocky Mountain, Mountain States, Big Eight, Big 12",1890,,FBS
Colorado State,Rams,Fort Collins,Colorado,"33,800",Mountain West,"Colorado Football Association, Rocky Mountain, Mountain States, WAC",1890,,FBS
Duke,Blue Devils,Durham,North Carolina,"15,900",ACC,SoCon,1888,,FBS
East Carolina,Pirates,Greenville,North Carolina,"29,100",American,"NSC, Carolinas, SoCon, C-USA",1932,,FBS
Eastern Michigan,Eagles,Ypsilanti,Michigan,"20,300",MAC,"MIAA, MCC, IIAC, PAC",1891,,FBS
Florida International,Panthers,Miami,Florida,"56,800",C-USA,Sun Belt,2002,2006,FBS
Florida,Gators,Gainesville,Florida,"56,100",SEC,"SIAA, SoCon",1906,,FBS
Florida Atlantic,Owls,Boca Raton,Florida,"30,800",C-USA,Sun Belt,2001,2006,FBS
Florida State,Seminoles,Tallahassee,Florida,"41,900",ACC,Dixie,1947,,FBS
Fresno State,Bulldogs,Fresno,California,"25,000",Mountain West,"California Coast Conference, NCAC, CCAA, Big West, WAC",1921,,FBS
Georgia,Bulldogs,Athens,Georgia,"38,200",SEC,"SIAA, SoCon",1892,,FBS
Georgia Southern,Eagles,Statesboro,Georgia,"26,400",Sun Belt,SoCon,1924,2014,FBS
Georgia State,Panthers,Atlanta,Georgia,"52,800",Sun Belt,CAA,2010,2013,FBS
Georgia Tech,Yellow Jackets,Atlanta,Georgia,"32,700",ACC,"SIAA, SoCon, SEC",1892,,FBS
Hawaii,Rainbow Warriors,Honolulu,Hawai'i,"17,700",Mountain West,WAC,1909,,FBS
Houston,Cougars,Houston,Texas,"42,700",American,"Lone Star, Gulf Coast, MVC, SWC, C-USA[n 3]",1946,,FBS
Illinois,Fighting Illini,Urbana–Champaign,Illinois,"51,200",Big Ten,Illinois Intercollegiate Football League,1890,,FBS
Indiana,Hoosiers,Bloomington,Indiana,"43,700",Big Ten,IIAA,1887,,FBS
Iowa,Hawkeyes,Iowa City,Iowa,"33,000",Big Ten,"WIUFA, MVC",1889,,FBS
Iowa State,Cyclones,Ames,Iowa,"33,400",Big 12,"MVC, Big 8",1892,,FBS
Kansas,Jayhawks,Lawrence,Kansas,"27,700",Big 12,"KCAC, WIUFA, MVC, Big 8",1890,,FBS
Kansas State,Wildcats,Manhattan,Kansas,"21,700",Big 12,"MVC, Big 8",1896,,FBS
Kent State,Golden Flashes,Kent,Ohio,"39,300",MAC,OAC,1920,,FBS
Kentucky,Wildcats,Lexington,Kentucky,"29,200",SEC,"SIAA, SoCon",1881,,FBS
Liberty,Flames,Lynchburg,Virginia,"15,000",Independent,Big South,1973,2018,FBS
Louisiana,Ragin' Cajuns,Lafayette,Louisiana,"19,200",Sun Belt,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West",1902,,FBS
Louisiana-Monroe,Warhawks,Monroe,Louisiana,"8,800",Sun Belt,"Gulf States Conference, Southland, Independent",1951,1994,FBS
Louisiana Tech,Bulldogs,Ruston,Louisiana,"12,400",C-USA,"Louisiana Intercollegiate Athletic Association, Louisiana Intercollegiate Conference, Gulf States Conference, SIAA, Southland, Big West, WAC",1901,1989,FBS
Louisville,Cardinals,Louisville,Kentucky,"22,600",ACC,"KIAC, SIAA, KIAC, OVC, MVC, C-USA, Big East, American",1910,,FBS
Louisiana State,Tigers,Baton Rouge,Louisiana,"30,800",SEC,"SIAA, SoCon",1893,,FBS
Marshall,Thundering Herd,Huntington,West Virginia,"13,200",C-USA,"WVIAC, Buckeye Conference, OVC, MAC, SoCon",1895,1997[n 1],FBS
Maryland,Terrapins,College Park,Maryland,"41,200",Big Ten,"MIFA, SAIAA, SoCon, ACC",1888,,FBS
Memphis,Tigers,Memphis,Tennessee,"21,500",American,"Mississippi Valley Conference, SIAA, MVC, C-USA[n 3]",1912,,FBS
Miami FL,Hurricanes,Coral Gables[n 4],Florida,"17,300",ACC,"SIAA, Big East",1926[2],,FBS
Miami (OH),RedHawks,Oxford,Ohio,"24,300",MAC,"OAC, Buckeye Conference",1888,,FBS
Michigan,Wolverines,Ann Arbor,Michigan,"46,000",Big Ten,,1879,,FBS
Michigan State,Spartans,East Lansing,Michigan,"50,300",Big Ten,MIAA,1885,,FBS
Middle Tennessee State,Blue Raiders,Murfreesboro,Tennessee,"21,900",C-USA,"VSAC, SIAA, OVC, Sun Belt",1911,1999,FBS
Minnesota,Golden Gophers,Minneapolis,Minnesota,"47,800",Big Ten,,1882,,FBS
Mississippi State,Bulldogs,Starkville,Mississippi,"22,200",SEC,"SIAA, SoCon",1895,,FBS
Missouri,Tigers,Columbia,Missouri,"30,000",SEC,"WIUFA, Big 8, Big 12",1890,,FBS
Navy,Midshipmen,Annapolis,Maryland,"4,600",American,Independent,1879,,FBS
North Carolina State,Wolfpack,Raleigh,North Carolina,"35,500",ACC,"SAIAA, SIAA, SoCon",1892,,FBS
Nebraska,Cornhuskers,Lincoln,Nebraska,"25,800",Big Ten,"WIUFA, MVC, Big 8, Big 12",1890,,FBS
Nevada,Wolf Pack,Reno,Nevada,"21,600",Mountain West,"NCAC, Big Sky, Big West, WAC",1896,1992,FBS
New Mexico,Lobos,Albuquerque,New Mexico,"26,300",Mountain West,"BIAA, WAC",1892,,FBS
New Mexico State,Aggies,Las Cruces,New Mexico,"21,900",Independent,"BIAA, MVC, Big West, Sun Belt, WAC",1893,,FBS
North Carolina,Tar Heels,Chapel Hill,North Carolina,"29,800",ACC,"SAIAA, SIAA, SoCon",1888,,FBS
North Texas,Mean Green,Denton,Texas,"39,400",C-USA,"TIAA, Lone Star, Gulf Coast Conference, MVC, Southland, Big West, Sun Belt",1913,1995,FBS
Northern Illinois,Huskies,DeKalb,Illinois,"20,000",MAC,"IIAC, Big West",1899,,FBS
Northwestern,Wildcats,Evanston,Illinois,"21,200",Big Ten,,1876,,FBS
Notre Dame,Fighting Irish,South Bend,Indiana,"12,300",Independent,,1887,,FBS
Ohio,Bobcats,Athens,Ohio,"34,900",MAC,"OAC, Buckeye Conference",1894,,FBS
Ohio State,Buckeyes,Columbus,Ohio,"68,100",Big Ten,OAC,1889,,FBS
Oklahoma,Sooners,Norman,Oklahoma,"28,500",Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1895,,FBS
Oklahoma State,Cowboys,Stillwater,Oklahoma,"25,300",Big 12,"Oklahoma Intercollegiate Conference, SWC, MVC, Big 8",1901,,FBS
Old Dominion,Monarchs,Norfolk,Virginia,"25,000",C-USA,CAA,2009,2014,FBS
Mississippi,Rebels,Oxford,Mississippi,"23,200",SEC,"SIAA, SoCon",1890,,FBS
Oregon,Ducks,Eugene,Oregon,"22,700",Pac-12,"PCC, Independent",1894,,FBS
Oregon State,Beavers,Corvallis,Oregon,"30,900",Pac-12,"PCC, Independent",1893,,FBS
Penn State,Nittany Lions,University Park,Pennsylvania,"46,600",Big Ten,,1881,,FBS
Pittsburgh,Panthers,Pittsburgh,Pennsylvania,"28,600",ACC,Big East,1890,,FBS
Purdue,Boilermakers,West Lafayette,Indiana,"43,400",Big Ten,IIAA,1887,,FBS
Rice,Owls,Houston,Texas,"7,100",C-USA,"TIAA, SWC, WAC",1912,,FBS
Rutgers,Scarlet Knights,Piscataway,New Jersey,"70,900",Big Ten,"Middle Atlantic, Big East, American",1869,,FBS
San Diego State,Aztecs,San Diego,California,"34,900",Mountain West,"Southern California Junior College Conference, SCIAC, CCAA, Big West, WAC",1921,1969,FBS
San Jose State,Spartans,San Jose,California,"32,800",Mountain West,"California Coast Conference, NCAC, California Collegiate, Big West, WAC",1892,,FBS
Southern Methodist,Mustangs,University Park,Texas,"11,800",American,"TIAA, SWC, WAC, C-USA[n 3]",1915,,FBS
South Alabama,Jaguars,Mobile,Alabama,"15,100",Sun Belt,,2009,2012,FBS
South Carolina,Gamecocks,Columbia,South Carolina,"50,100",SEC,"SIAA, SoCon, ACC",1892,,FBS
South Florida,Bulls,Tampa,Florida,"50,700",American,"C-USA, Big East",1997,2001,FBS
Southern Mississippi,Golden Eagles,Hattiesburg,Mississippi,"14,500",C-USA,"Gulf States Conference, SIAA",1912,,FBS
Stanford,Cardinal,Stanford,California,"16,500",Pac-12,PCC,1891,,FBS
Syracuse,Orange,Syracuse,New York,"22,900",ACC,Big East,1889,,FBS
Texas Christian,Horned Frogs,Fort Worth,Texas,"10,400",Big 12,"TIAA, SWC, WAC, C-USA, MW",1896,,FBS
Temple,Owls,Philadelphia,Pennsylvania,"40,000",American,"Middle Atlantic, Big East, MAC, Big East",1894,,FBS
Tennessee,Volunteers,Knoxville,Tennessee,"28,900",SEC,"SIAA, SoCon",1891,,FBS
Texas,Longhorns,Austin,Texas,"51,800",Big 12,"SIAA, TIAA, SWC",1893,,FBS
Texas A&M,Aggies,College Station,Texas,"69,400",SEC,"SIAA, SWC, Big 12",1894,,FBS
Texas State,Bobcats,San Marcos,Texas,"38,800",Sun Belt,"TIAA, Lone Star, Gulf Star, Southland, WAC",1904,2012,FBS
Texas Tech,Red Raiders,Lubbock,Texas,"38,200",Big 12,"BIAA, SWC",1925,,FBS
Toledo,Rockets,Toledo,Ohio,"23,100",MAC,"Northwestern Ohio Intercollegiate Athletic Association, OAC",1917,,FBS
Troy,Trojans,Troy,Alabama,"18,100",Sun Belt,"Alabama Intercollegiate Conference, SIAA, Alabama Collegiate Conference, Mid-South Athletic Conference, Gulf South, Southland",1909,2002,FBS
Tulane,Green Wave,New Orleans,Louisiana,"14,100",American,"SIAA, SoCon, SEC, C-USA",1893,,FBS
Tulsa,Golden Hurricane,Tulsa,Oklahoma,"3,297[3]",American,"Oklahoma Intercollegiate Conference, Big 4 Conference, MVC, WAC, C-USA",1895,,FBS
Alabama-Birmingham,Blazers,Birmingham,Alabama,"21,900",C-USA,,1991,1999,FBS
Central Florida,Knights,Orlando,Florida,"68,600",American,"MAC, C-USA",1979,1996,FBS
UCLA,Bruins,Los Angeles,California,"45,400",Pac-12,"SCIAC, PCC",1919,,FBS
UConn,Huskies,Storrs[n 5],Connecticut,"32,200",Independent,"Yankee, A-10, Big East, American",1896,2000,FBS
Massachusetts,Minutemen,Amherst,Massachusetts,"30,600",Independent,"Yankee, A-10, CAA, MAC",1879,2012,FBS
Nevada-Las Vegas,Rebels,Las Vegas[n 6],Nevada,"30,500",Mountain West,"Big West, WAC",1968,1978,FBS
USC,Trojans,Los Angeles,California,"45,700",Pac-12,PCC,1888,,FBS
Texas-El Paso,Miners,El Paso,Texas,"25,100",C-USA,"BIAA, WAC",1914,,FBS
Texas-San Antonio,Roadrunners,San Antonio,Texas,"30,700",C-USA,WAC,2011,2012,FBS
Utah,Utes,Salt Lake City,Utah,"33,000",Pac-12,"Colorado Football Association, RMAC, Mountain States, WAC, MW",1892,,FBS
Utah State,Aggies,Logan,Utah,"29,400",Mountain West,"Colorado Football Association, RMAC, Mountain States, Big West, Independent, Sun Belt, WAC",1892,,FBS
