CFS,DATE,NATURE CODE,ADDRESS,XCOORD,YCOORD,DOW
010110-202,1/1/2010  9:07:54 PM,MUSIC,2150 NW 17TH ST,7479878.5000 ,348315.2500 ,FRI
010210-13,1/2/2010  1:44:56 AM,MUSIC,NW 23RD ST AND NW POLK AV,7478413.0000 ,343076.0000 ,SAT
010410-241,1/4/2010  10:41:32 PM,PARTY,NW 27TH ST AND NW TAYLOR AV,7477535.0000 ,343482.0000 ,MON
010410-250,1/4/2010  11:04:29 PM,MUSIC,825 NW 23RD ST,7478437.5000 ,343844.0313 ,MON
010710-211,1/7/2010  10:12:30 PM,SRN,1393 SW E AV,7479516.0000 ,337156.2500 ,THU
010710-247,1/7/2010  11:36:46 PM,SRN,1460 NW VAN BUREN AV,7479903.0000 ,341479.0313 ,THU
010710-251,1/7/2010  11:46:35 PM,PARTY,410 NW 25TH ST,7478065.0000 ,342476.4688 ,THU
010710-245,1/7/2010  11:27:31 PM,SRN,641 NW 23RD ST,7478426.0000 ,343214.3438 ,THU
010810-4,1/8/2010  12:06:57 AM,PARTY,1315 SW E AV,7479769.0000 ,337118.4375 ,FRI
010810-19,1/8/2010  1:05:42 AM,MUSIC,720 NW 5TH ST,7483015.5000 ,341966.3438 ,FRI
010810-226,1/8/2010  10:24:41 PM,PARTY,561 NW WALNUT BV,7484616.5000 ,350348.9063 ,FRI
010810-239,1/8/2010  11:11:25 PM,SRN,301 SW 11TH ST,7480231.5000 ,339707.3125 ,FRI
010810-244,1/8/2010  11:33:58 PM,PARTY,513 NW 17TH ST,7479631.5000 ,342445.1875 ,FRI
010910-24,1/9/2010  12:56:31 AM,MUSIC,550 NW HARRISON BV,7482630.0000 ,340805.9688 ,SAT
010910-43,1/9/2010  1:59:27 AM,SRN,3656 NW TYLER PL,7474733.0000 ,342780.2813 ,SAT
010910-256,1/9/2010  11:06:05 PM,PARTY,1127 NW 27TH ST,7477589.5000 ,344785.2500 ,SAT
010910-265,1/9/2010  11:22:24 PM,PARTY,1015 NW MONROE AV,7480721.0000 ,340357.8750 ,SUN
011010-61,1/10/2010  3:18:40 AM,PARTY,3260 NW JACKSON AV [CORVALLIS],7475825.0000 ,341749.5000 ,SUN
011010-63,1/10/2010  3:59:25 AM,MUSIC,620 NW 21ST ST,7478731.5000 ,343103.5313 ,SUN
011110-9,1/11/2010  12:43:58 AM,PARTY,707 SW 10TH ST,7480236.5000 ,338372.7813 ,MON
011210-201,1/12/2010  10:00:37 PM,MUSIC,2837 SW WESTERN BV,7476846.0000 ,337051.6875 ,TUE
011410-183,1/14/2010  10:12:50 PM,PARTY,2004 NW HARRISON BV,7479041.0000 ,342226.0625 ,THU
011510-260,1/15/2010  11:21:34 PM,PARTY,2330 NW ROLLING GREEN DR,7479976.0000 ,349319.9063 ,FRI
011610-2,1/16/2010  12:05:05 AM,MUSIC,715 SW 55TH ST,7468766.0000 ,338389.5938 ,SAT
011610-3,1/16/2010  12:09:29 AM,SRN,204 NW KINGS BV,7479036.0000 ,341447.3438 ,SAT
011610-20,1/16/2010  12:59:26 AM,MUSIC,SW 2ND ST AND SW MADISON AV,7482809.0000 ,339109.0000 ,SAT
011610-17,1/16/2010  12:47:42 AM,PARTY,1532 NW 27TH ST,7477628.0000 ,346214.6875 ,SAT
011610-45,1/16/2010  3:04:44 AM,PARTY,3073 SE STERNWHEELER DR,7483717.0000 ,328765.9688 ,SAT
011610-52,1/16/2010  4:30:18 AM,MUSIC,2857 NW VAN BUREN AV,7476950.0000 ,342126.3438 ,SAT
011610-231,1/16/2010  10:52:48 PM,PARTY,1625 SW 49TH ST,7470154.5000 ,334467.8438 ,SAT
011610-250,1/16/2010  11:56:03 PM,SRN,2857 NW HARRISON BV,7477032.5000 ,342479.0000 ,SAT
011710-9,1/17/2010  12:14:18 AM,PARTY,101 NE CONIFER BV,7485918.0000 ,351317.5000 ,SUN
011710-16,1/17/2010  1:01:08 AM,PARTY,NW 23RD ST AND NW HARRISON BV,7478399.0000 ,342372.0000 ,SUN
011710-20,1/17/2010  1:08:45 AM,PARTY,220 NW 15TH ST,7479715.0000 ,341252.0313 ,SUN
011710-17,1/17/2010  1:02:17 AM,PARTY,440 NW 10TH ST,7481216.5000 ,341535.9688 ,SUN
011710-21,1/17/2010  1:27:52 AM,PARTY,208 NW 12TH ST,7480401.5000 ,340932.4688 ,SUN
011810-209,1/18/2010  11:13:06 PM,MUSIC,750 NW FILLMORE AV,7482468.5000 ,342548.1875 ,MON
011910-1,1/19/2010  12:00:36 AM,SRN,426 NW 18TH ST,7479255.5000 ,342263.0625 ,TUE
012010-194,1/20/2010  10:09:01 PM,SRN,1767 SW OTANA DR,7468158.5000 ,333908.2188 ,WED
012110-215,1/21/2010  10:39:48 PM,MUSIC,437 NW 14TH ST,7480254.5000 ,341900.3125 ,THU
