Votes,Status,Value,
montana,3,Candidate,4
wyoming,3,Candidate,4
delaware,3,Candidate,4
vermont,3,Candidate,4
alaska,3,Party,3
south dakota,3,Unbound,2
north dakota,3,Unbound,2
dc,3,Unbound,2
hawaii,4,Party,3
idaho,4,Unbound,2
maine,4,Alternative,1
rhode island,4,Unbound,2
new hampshire,4,Unbound,2
new mexico,5,Party,3
west virginia,5,Unbound,2
nebraska,5,Alternative,1
nevada,6,Candidate,4
mississippi,6,Candidate,4
utah,6,Party,3
kansas,6,Party,3
arkansas,6,Party,3
iowa,6,Unbound,2
connecticut,7,Candidate,4
oregon,7,Party,3
oklahoma,7,Party,3
kentucky,8,Unbound,2
louisiana,8,Unbound,2
colorado,9,Candidate,4
alabama,9,Candidate,4
south carolina,9,Candidate,4
maryland,10,Candidate,4
missouri,10,Party,3
wisconsin,10,Party,3
minnesota,10,Unbound,2
massachusetts,11,Candidate,4
tennessee,11,Party,3
arizona,11,Unbound,2
indiana,11,Unbound,2
washington,12,Party,3
new jersey,14,Unbound,2
north carolina,15,Party,3
virginia,13,Party,3
michigan,16,Party,3
georgia,16,Unbound,2
ohio,18,Party,3
illinois,20,Unbound,2
pennsylvania,20,Unbound,2
florida,29,Unbound,2
new york,29,Unbound,2
texas,38,Unbound,2
california,55,Party,3
