"SOURCE","TARGET","TYPE"
"Addison Montgomery","Derek Shepard","Divorced"
"Alex Karev","Lucy Fields","Broken Up"
"Alex Karev","Rebecca/Ava","Broken Up"
"Alex Karev","Izzie Stevens","Together"
"Alex Karev","Jo Wilson","Broken Up"
"Amelia Shepherd","Mark Sloan","Broken Up"
"Amelia Shepherd","Ryan Kerrigan","Broken Up"
"Amelia Shepherd","James Peterson","Broken Up"
"Amelia Shepherd","Link Lincoln","Widow"
"Andrew DeLuca","Sam Bello","Together"
"April Kepner","Jackson Avery","Divorced"
"April Kepner","Matthew Taylor","Broken Up"
"Arizona Robbins","Eliza Minnick","Divorced"
"Brooke Smith","Callie Torres","Broken Up"
"Callie Torres","Penny Blake","Together"
"Callie Torres","George O'Malley","Broken Up"
"Callie Torres","Arizona Robbins","Divorced"
"Carina DeLuca","Arizona Robbins","Broken Up"
"Cristina Yang","Owen Hunt","Divorced"
"Colin Marlowe","Cristina Yang","Broken Up"
"Cristina Yang","Shane Ross","Broken Up"
"Derek Shepard","Nurse Rose","Broken Up"
"George O'Malley","Olivia Harper","Broken Up"
"Izzie Stevens","George O'Malley","Broken Up"
"Izzie Stevens","Hank the Hockey Player","Broken Up"
"Izzie Stevens","Denny Duquette","Widow"
"Jackson Avery","Lexie Grey","Broken Up"
"Jo Wilson","Jason Myers","Written-off"
"Jo Wilson","Andrew DeLuca","Broken Up"
"Lexie Grey","Alex Karev","Broken Up"
"Lexie Grey","Mark Sloan","Widow"
"Lexie Grey","Jackson Avery","Broken Up"
"Link Lincoln","Amelia Shepherd","Together"
"Maggie Pierce","Clive","Broken Up"
"Maggie Pierce","Ethan Boyd","Broken Up"
"Maggie Pierce","Andrew DeLuca","Broken Up"
"Mark Sloan","Julia Canner","Broken Up"
"Mark Sloan","Addison Montgomery","Broken Up"
"Meagan Nowland","Steve Bailey","Married"
"Meredith Grey","William Thorpe","Broken Up"
"Meredith Grey","Finn Dandridge","Broken Up"
"Meredith Grey","Nathan Riggs","Broken Up"
"Meredith Grey","Derek Shepard","Widow"
"Meredith Grey","Andrew DeLuca","Broken Up"
"Miranda Bailey","Tucker Jones","Divorced"
"Miranda Bailey","Ben Warren","Married"
"Miranda Bailey","Eli Lloyd","Broken Up"
"Nathan Riggs","Megan Hunt","Together"
"Owen Hunt","Amelia Shepherd","Divorced"
"Owen Hunt","Emma Marling","Broken Up"
"Preston Burke","Cristina Yang","Broken Up"
"Richard Webber","Catherine Avery","Together"
"Richard Webber","Adele Webber","Widow"
"Richard Webber","Ellis Grey","Widow"
"Stephanie Edwards","Jackson Avery","Broken Up"
"Stephanie Edwards","Kyle Diaz","Widow"
"Stephanie Edwards","Shane Ross","Broken Up"
"Teddy Altman","Andrew Perkins","Broken Up"
"Teddy Altman","Owen Hunt","Friends"
"Teddy Altman","Mark Sloan","Broken Up"
"Teddy Altman","Henry Burton","Widow"
"Teddy Altman","Tom Koracick","Broken Up"
"Samantha Riley","Mark Sloan","Broken Up"
"Reed Adamson","Mark Sloan","Broken Up"
"Nancy Shepard","Mark Sloan","Broken Up"
"Jackson Avery","Maggie Pierce","Together"
