"SOURCE","TARGET","WHERE","check"
"5","8","CA","13"
"5","10","CA","15"
"8","10","AZ","18"
"5","15","CA","20"
"10","12","LA","22"
"8","15","CA","23"
"10","14","TX","24"
"10","17","AZ","27"
"10","19","AZ","29"
"10","20","TX","30"
"10","25","NM","35"
"10","35","TX","45"
"26","20","SC","46"
"37","10","TX","47"
"14","35","TX","49"
"20","30","TX","50"
"25","27","TX","52"
"10","45","TX","55"
"15","40","CA","55"
"40","17","AZ","57"
"10","49","LA","59"
"35","29","MO","64"
"40","24","TN","64"
"10","55","LA","65"
"20","45","TX","65"
"25","40","NM","65"
"30","35","IX","65"
"26","40","NC","66"
"12","55","LA","67"
"10","59","LA","69"
"20","49","TX","69"
"40","30","AR","70"
"35","37","TX","72"
"10","65","AL","75"
"20","55","MS","75"
"40","35","TX","75"
"45","30","TX","75"
"4","75","FL","79"
"20","59","AL","79"
"44","35","OK","79"
"49","30","AR","79"
"69","10","TX","79"
"43","39","WI","82"
"59","24","GA","83"
"43","41","WI","84"
"44","40","OK","84"
"5","80","CA","85"
"10","75","FL","85"
"15","70","UT","85"
"20","65","AL","85"
"22","65","AL","87"
"5","84","OR","89"
"24","65","TN","89"
"49","40","AR","89"
"16","75","GA","91"
"49","44","MO","93"
"69","24","KY","93"
"39","55","IL","94"
"5","90","WA","95"
"15","80","UT","95"
"20","75","GA","95"
"25","70","CO","95"
"40","55","AR","95"
"85","10","GA","95"
"20","77","SC","97"
"4","95","FL","99"
"15","84","UT","99"
"24","75","TN","99"
"44","55","MO","99"
"25","76","CO","101"
"26","77","SC","103"
"35","69","TX","104"
"10","95","FL","105"
"15","90","MT","105"
"20","85","GA","105"
"25","80","WY","105"
"35","70","MO","105"
"40","65","TN","105"
"37","69","TX","106"
"81","26","TN","107"
"44","64","MO","108"
"29","80","NE","109"
"69","40","TN","109"
"16","95","GA","111"
"26","85","SC","111"
"55","57","IL","112"
"44","70","MO","114"
"45","69","TX","114"
"74","40","NC","114"
"20","95","SC","115"
"25","90","WY","115"
"35","80","IA","115"
"40","75","TN","115"
"40","77","NC","117"
"29","90","SD","119"
"39","80","IL","119"
"26","95","SC","121"
"57","64","IL","121"
"81","40","TN","121"
"29","94","ND","123"
"55","69","TN","124"
"59","65","AL","124"
"35","90","MN","125"
"40","85","NC","125"
"55","70","IL","125"
"39","88","IL","127"
"57","70","IL","127"
"72","55","IL","127"
"35","94","MN","129"
"39","90","IL","129"
"55","74","IL","129"
"57","72","IL","129"
"57","74","IL","131"
"39","94","WI","133"
"69","64","IN","133"
"55","80","IL","135"
"71","64","KY","135"
"57","80","IL","137"
"94","43","WI","137"
"68","70","MD","138"
"74","65","IN","139"
"75","64","KY","139"
"64","77","WV","141"
"71","70","OH","141"
"75","69","MI","144"
"55","90","IL","145"
"64","81","VA","145"
"65","80","IN","145"
"75","70","OH","145"
"70","76","PA","146"
"71","75","OH","146"
"66","81","VA","147"
"68","79","WV","147"
"71","76","OH","147"
"74","73","NC","147"
"55","94","IL","149"
"69","80","IN","149"
"74","75","OH","149"
"57","94","IL","151"
"71","80","OH","151"
"74","77","NC","151"
"81","70","MD","151"
"77","76","OH","153"
"74","80","IA","154"
"75","80","OH","155"
"76","79","PA","155"
"76","80","OH","156"
"77","79","WV","156"
"76","81","PA","157"
"77","80","OH","157"
"81","77","VA","158"
"64","95","VA","159"
"69","90","IN","159"
"76","83","PA","159"
"71","90","OH","161"
"77","85","NC","162"
"69","94","MI","163"
"81","83","PA","164"
"69","96","MI","165"
"75","90","OH","165"
"77","90","OH","167"
"88","80","IL","168"
"74","95","NC","169"
"75","94","MI","169"
"80","90","IN","170"
"135","35","KS","170"
"81","90","NY","171"
"95","76","PA","171"
"87","86","NY","173"
"80","94","IN","174"
"76","99","PA","175"
"80","95","NJ","175"
"87","90","NY","177"
"89","91","VT","180"
"95","85","VA","180"
"89","93","NH","182"
"95","87","NY","182"
"93","90","MA","183"
"90","94","MT","184"
"90","95","MA","185"
"99","86","NY","185"
"93","95","MA","188"
"96","94","MI","190"
"135","70","KS","205"
"196","94","MI","290"
"196","96","MI","292"
"275","71","KY","346"
"74","275","OH","349"
"294","55","IL","349"
"275","75","KY","350"
"294","57","IL","351"
"287","78","NJ","365"
"287","80","NJ","367"
"76","295","DE","371"
"287","87","NY","374"
"294","80","IL","374"
"287","95","NY","382"
"294","88","IL","382"
"294","90","IL","384"
"294","94","IL","388"
"295","95","DE","390"
"376","76","PA","452"
"376","79","PA","455"
"376","80","PA","456"
"435","29","MO","464"
"435","35","MO","470"
"86","390","NY","476"
"90","390","NY","480"
"435","49","MO","484"
"435","70","KS","505"
"476","76","PA","552"
"476","80","PA","556"
"476","81","PA","557"
"476","95","PA","571"
"295","278","NY","573"
"495","90","MA","585"
"495","93","MA","588"
"495","95","MA","590"
"678","95","NY","773"
"840","24","TN","864"
"840","40","TN","880"
"840","65","TN","905"
"678","278","NY","956"
"40","87S","NC","#VALUE!"
"295","495NY","NY","#VALUE!"
"495NY","278","NY","#VALUE!"
"495NY","678","NY","#VALUE!"
"86W","15","ID","#VALUE!"
"86W","84","ID","#VALUE!"
